date,address,cumulative_wallets
2022-01-05,5,5
2022-01-06,10,15
2022-01-07,16,31
2022-01-08,14,45
2022-01-09,549,594
2022-01-10,19,613
2022-01-11,8,621
2022-01-12,15,636
2022-01-13,15,651
2022-01-14,1012,1663
2022-01-15,14,1677
2022-01-16,429,2106
2022-01-17,9,2115
2022-01-18,5,2120
2022-01-19,2323,4443
2022-01-20,27,4470
2022-01-21,12,4482
2022-01-22,11,4493
2022-01-23,15,4508
2022-01-24,268,4776
2022-01-25,41,4817
2022-01-26,1978,6795
2022-01-27,118,6913
2022-01-28,151,7064
2022-01-29,178,7242
2022-01-30,231,7473
2022-01-31,140,7613
2022-02-01,92,7705
2022-02-02,132,7837
2022-02-03,105,7942
2022-02-04,113,8055
