date,address,cumulative_wallets
2022-01-05,5,5
2022-01-06,11,16
2022-01-07,17,33
2022-01-08,20,53
2022-01-09,1118,1171
2022-01-10,28,1199
2022-01-11,9,1208
2022-01-12,25,1233
2022-01-13,17,1250
2022-01-14,1222,2472
2022-01-15,18,2490
2022-01-16,1315,3805
2022-01-17,17,3822
2022-01-18,7,3829
2022-01-19,2920,6749
2022-01-20,45,6794
2022-01-21,20,6814
2022-01-22,14,6828
2022-01-23,32,6860
2022-01-24,627,7487
2022-01-25,50,7537
2022-01-26,3248,10785
2022-01-27,258,11043
2022-01-28,270,11313
2022-01-29,282,11595
2022-01-30,1017,12612
2022-01-31,238,12850
2022-02-01,201,13051
2022-02-02,216,13267
2022-02-03,198,13465
2022-02-04,206,13671
